name,weight,price
Cigarettes,34,31
Margarine,26,44
Lettuce,11,47
Pork,22,51
Perfume,16,58
Lard,15,45
Veal,2,54
Textbooks,25,19
Fruit-bearing Vegetables,12,0
Mayonnaise,13,35
Berries,28,13
Pumpkins,10,3
Bicycles,23,50
Potatoes,17,2
Candles,7,41
Pork,22,51
Tofu,7,48
Soup Mixes,13,12
Pork,22,51
Pumpkins,10,3
Green Garlic,2,49
Chicory,15,47
Melons,24,15
Breakfast Cereal,25,10
Cauliflower,23,59
Carrots,32,55
Pork,22,51
Veal,2,54
Yogurt,38,29
Table Salt,11,29
Crackers,32,4
Eggplants,22,23
Toys,36,39
Broccoli,13,18
Green Leguminous Vegetables,24,5
Onions,18,9
Cauliflower,23,59
Candles,7,41
Toothpaste,9,12
Gourds,14,1
