name,weight,price
Spices,47,133
Tortillas,67,38
Cigarettes,47,37
DVDs,74,51
Eggplants,56,37
Batteries,61,27
Candles,10,28
Candles,10,28
Sugar products,69,76
Hobby Kits,44,52
Chocolate Products,3,12
Frozen Vegetables,23,52
Avocados,19,97
Onions,18,49
Soup Mixes,2,87
Melons,37,22
Beef,87,64
Veal,25,96
Pie,57,40
Coconuts in shell,1,2
Textbooks,20,29
Stuffed Animals,88,56
Candles,10,28
Chocolate Products,3,12
Fur,40,47
Handbags,58,6
Bicycles,76,98
Salads,13,93
Cucumbers,34,45
Lard,18,79
Video Games,74,95
Nuts in shell,42,81
Beef,87,64
Lettuce,43,72
Asparagus,75,55
Soft Drinks,4,72
Bicycles,76,98
Pie,57,40
Soft Drinks,4,72
Pumpkins,3,8
Watches,32,78
Citrus Fruits,88,29
Gherkins,58,71
Fluid Milk,52,40
General Reference Books,63,17
Textbooks,20,29
CDs,52,28
Mushrooms,22,74
Onions,18,49
Eggplants,56,37
General Reference Books,63,17
Table Salt,88,39
Veal,25,96
Kitchenware,29,32
Lard,18,79
Sugar products,69,76
Butter,78,31
Chiles,62,0
Ice,29,97
Soft Drinks,4,72
Dolls,85,75
Bed Linens,68,3
Toothpaste,28,93
Games,57,61
Soft Drinks,4,72
Coconuts in shell,1,2
Potatoes,84,46
Nuts in shell,42,81
Eggplants,56,37
Chocolate Products,3,12
Newspapers,18,21
Cauliflower,21,39
Perfume,74,125
Games,57,61
Books,46,66
Bed Linens,68,3
Broccoli,8,96
Broccoli,8,96
Video Games,74,95
Cologne,15,17
Footwear,38,82
Breakfast Cereal,74,51
Melons,37,22
Berries,20,110
Grapes,6,42
Cologne,15,17
Chocolate Products,3,12
Textbooks,20,29
Soup Mixes,2,87
Cookies,22,133
