name,weight,price
Soft Drinks,70,20
Toys,58,15
Mattresses,42,69
Bicycles,44,5
Pastries,76,10
Spices,74,57
Tofu,5,6
Crackers,70,76
Watches,54,2
Children's Books,14,17
Cauliflower,60,55
Frozen Fruits,61,29
Chocolate Products,39,69
Action Figures,41,27
Margarine,1,70
Lettuce,53,37
Coconuts in shell,61,11
Pome Fruits,32,84
Frozen Fruits,61,29
Butter,16,59
Batteries,75,20
Fluid Milk,68,85
Nuts in shell,2,116
Motorcycles,42,15
Melons,30,64
Candles,71,15
Cigarettes,26,77
Dolls,39,54
Green Leguminous Vegetables,30,116
Games,51,44
Video Games,7,42
Sugar products,7,41
Asparagus,68,8
Broccoli,54,39
Sandwiches,48,73
Beef,6,99
Clothing,33,106
Candles,71,15
Pie,21,69
Crackers,70,76
Gherkins,22,118
Toys,58,15
Soft Drinks,70,20
Cucumbers,59,47
Soft Drinks,70,20
Toys,58,15
Motorcycles,42,15
Salads,49,13
Cookies,6,52
Coconuts in shell,61,11
Broccoli,54,39
Broccoli,54,39
Gourds,41,116
Mushrooms,50,21
Chicory,7,40
Lard,2,43
Handbags,27,67
Gourds,41,116
Soap,2,1
Cookies,6,52
Salads,49,13
Soup Mixes,61,63
Yogurt,74,71
Baby Carriages,47,78
Clothing,33,106
Pumpkins,75,80
Spinach,64,101
Mayonnaise,8,114
Bicycles,44,5
Chiles,23,79
Cookies,6,52
Green Garlic,4,24
Handbags,27,67
Bicycles,44,5
Frozen Vegetables,60,116
Frozen Vegetables,60,116
Bed Linens,45,12
Tomatoes,27,99
Cake,63,97
Pome Fruits,32,84
