name,weight,price
Action Figures,3,76
Coconuts in shell,27,82
Baby Carriages,41,38
Ice,15,33
Table Salt,57,61
Mayonnaise,17,83
Watches,33,14
Tortillas,59,43
Carrots,35,51
Fruit-bearing Vegetables,38,77
Mushrooms,43,13
Avocados,48,21
Carrots,35,51
Textbooks,7,89
Mopeds,33,17
Gherkins,32,21
Spinach,47,1
Fluid Milk,50,75
Batteries,47,87
Chocolate Products,1,36
Mushrooms,43,13
Green Garlic,18,27
Fruit-bearing Vegetables,38,77
Gherkins,32,21
Action Figures,3,76
Eggplants,57,86
Melons,45,62
Spices,29,0
Cookies,39,89
Asparagus,51,88
Artichokes,14,83
Frozen Vegetables,20,39
Mayonnaise,17,83
Frozen Vegetables,20,39
Grapes,14,28
CDs,27,23
Pepper,44,69
Video Games,32,87
Hobby Kits,38,6
Ice,15,33
Artichokes,14,83
Salads,23,5
Tofu,32,48
Peppers,35,75
Squash,28,39
Peppers,35,75
Cauliflower,5,85
Pepper,44,69
Yogurt,14,63
Gourds,40,85
Sugar products,51,38
Footwear,57,88
Textbooks,7,89
Newspapers,20,5
Spices,29,0
Onions,11,83
Breakfast Cereal,37,30
Lard,43,19
Books,52,85
Books,52,85
